127.0.0.1 - - [07/Dec/2023:12:46:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/ HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/example/title_dot.gif;jsessionid=38B6FCFD7AF2CADB0CDE6EDA3A3F07EC HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/example/btn_bg_r.gif;jsessionid=38B6FCFD7AF2CADB0CDE6EDA3A3F07EC HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/css/egovframework/sample.css;jsessionid=38B6FCFD7AF2CADB0CDE6EDA3A3F07EC HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /newProject/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:21 +0900] "POST /newProject/egovSampleList.do;jsessionid=38B6FCFD7AF2CADB0CDE6EDA3A3F07EC HTTP/1.1" 200 11197
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:21 +0900] "GET /newProject/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:21 +0900] "GET /newProject/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:21 +0900] "GET /newProject/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:24 +0900] "POST /newProject/updateSampleView.do HTTP/1.1" 200 6342
0:0:0:0:0:0:0:1 - - [07/Dec/2023:12:46:24 +0900] "GET /newProject/cmmn/validator.do HTTP/1.1" 200 34694
